location,station,wtr_temp,dissolved_o2,o2_saturation,PumpCycle,run,datetime,start_datetime,end_datetime
F3,9,15.628,1.583,15.911555,2,1,2022-05-19T15:50:00Z,2022-05-19T15:48:28Z,2022-05-19T16:28:35Z
F3,9,15.722,2.059,20.737634,2,1,2022-05-19T16:00:00Z,2022-05-19T15:48:28Z,2022-05-19T16:28:35Z
F3,9,15.679,1.98,19.923687,2,1,2022-05-19T16:10:00Z,2022-05-19T15:48:28Z,2022-05-19T16:28:35Z
F3,9,15.688,1.661,16.71697,2,1,2022-05-19T16:20:00Z,2022-05-19T15:48:28Z,2022-05-19T16:28:35Z
F3,9,15.628,1.66,16.685522,NA,NA,2022-05-19T16:30:00Z,NA,NA
F3,9,15.628,1.826,18.354074,NA,NA,2022-05-19T16:40:00Z,NA,NA
F3,9,15.714,1.832,18.44821,NA,NA,2022-05-19T16:50:00Z,NA,NA
F3,9,15.696,2.001,20.142303,3,1,2022-05-19T17:00:00Z,2022-05-19T16:52:50Z,2022-05-19T17:32:56Z
F3,9,15.688,1.986,19.9879,3,1,2022-05-19T17:10:00Z,2022-05-19T16:52:50Z,2022-05-19T17:32:56Z
F3,9,15.714,1.952,19.656608,3,1,2022-05-19T17:20:00Z,2022-05-19T16:52:50Z,2022-05-19T17:32:56Z
F3,9,15.765,2.014,20.303007,3,1,2022-05-19T17:30:00Z,2022-05-19T16:52:50Z,2022-05-19T17:32:56Z
F3,9,15.739,2.002,20.170856,NA,NA,2022-05-19T17:40:00Z,NA,NA
F3,9,15.739,2.098,21.13809,NA,NA,2022-05-19T17:50:00Z,NA,NA
F3,9,15.816,1.27,12.816703,4,1,2022-05-19T18:00:00Z,2022-05-19T17:57:10Z,2022-05-19T18:37:14Z
F3,9,15.833,2.013,20.322332,4,1,2022-05-19T18:10:00Z,2022-05-19T17:57:10Z,2022-05-19T18:37:14Z
F3,9,15.791,2.063,20.808494,4,1,2022-05-19T18:20:00Z,2022-05-19T17:57:10Z,2022-05-19T18:37:14Z
F3,9,15.842,1.933,19.518426,4,1,2022-05-19T18:30:00Z,2022-05-19T17:57:10Z,2022-05-19T18:37:14Z
F3,9,15.859,1.96,19.798217,NA,NA,2022-05-19T18:40:00Z,NA,NA
F3,9,15.867,2.097,21.185677,NA,NA,2022-05-19T18:50:00Z,NA,NA
F3,9,15.919,2.161,21.85641,NA,NA,2022-05-19T19:00:00Z,NA,NA
F3,9,15.885,2.122,21.446457,5,1,2022-05-19T19:10:00Z,2022-05-19T19:01:27Z,2022-05-19T19:41:34Z
F3,9,15.893,2.166,21.894876,5,1,2022-05-19T19:20:00Z,2022-05-19T19:01:27Z,2022-05-19T19:41:34Z
F3,9,15.961,2.233,22.604779,5,1,2022-05-19T19:30:00Z,2022-05-19T19:01:27Z,2022-05-19T19:41:34Z
F3,9,16.055,2.217,22.487619,5,1,2022-05-19T19:40:00Z,2022-05-19T19:01:27Z,2022-05-19T19:41:34Z
F3,9,16.013,2.299,23.298603,NA,NA,2022-05-19T19:50:00Z,NA,NA
F3,9,16.081,2.254,22.875524,NA,NA,2022-05-19T20:00:00Z,NA,NA
F3,9,16.004,2.417,24.489765,6,1,2022-05-19T20:10:00Z,2022-05-19T20:05:46Z,2022-05-19T20:45:50Z
F3,9,16.055,2.396,24.303263,6,1,2022-05-19T20:20:00Z,2022-05-19T20:05:46Z,2022-05-19T20:45:50Z
F3,9,16.038,2.296,23.280543,6,1,2022-05-19T20:30:00Z,2022-05-19T20:05:46Z,2022-05-19T20:45:50Z
F3,9,16.089,2.069,21.001545,6,1,2022-05-19T20:40:00Z,2022-05-19T20:05:46Z,2022-05-19T20:45:50Z
F3,9,16.081,2.144,21.75915,NA,NA,2022-05-19T20:50:00Z,NA,NA
F3,9,16.089,2.393,24.290333,NA,NA,2022-05-19T21:00:00Z,NA,NA
F3,9,16.107,2.346,23.822339,NA,NA,2022-05-19T21:10:00Z,NA,NA
F3,9,16.055,0.625,6.339541,7,1,2022-05-19T21:20:00Z,2022-05-19T21:10:01Z,2022-05-19T21:50:06Z
F3,9,16.064,0.62,6.290024,7,1,2022-05-19T21:30:00Z,2022-05-19T21:10:01Z,2022-05-19T21:50:06Z
F3,9,16.013,0.635,6.435238,7,1,2022-05-19T21:40:00Z,2022-05-19T21:10:01Z,2022-05-19T21:50:06Z
F3,9,16.03,0.708,7.177625,7,1,2022-05-19T21:50:00Z,2022-05-19T21:10:01Z,2022-05-19T21:50:06Z
F3,9,16.047,0.762,7.727857,NA,NA,2022-05-19T22:00:00Z,NA,NA
F3,9,16.055,0.819,8.307334,NA,NA,2022-05-19T22:10:00Z,NA,NA
F3,9,16.021,0.873,8.848688,8,1,2022-05-19T22:20:00Z,2022-05-19T22:14:16Z,2022-05-19T22:54:22Z
F3,9,16.047,0.901,9.137532,8,1,2022-05-19T22:30:00Z,2022-05-19T22:14:16Z,2022-05-19T22:54:22Z
F3,9,16.038,1.492,15.128297,8,1,2022-05-19T22:40:00Z,2022-05-19T22:14:16Z,2022-05-19T22:54:22Z
F3,9,16.004,1.588,16.09009,8,1,2022-05-19T22:50:00Z,2022-05-19T22:14:16Z,2022-05-19T22:54:22Z
F3,9,15.979,1.567,15.868889,NA,NA,2022-05-19T23:00:00Z,NA,NA
F3,9,15.987,1.576,15.962742,NA,NA,2022-05-19T23:10:00Z,NA,NA
F3,9,15.979,1.538,15.575208,9,1,2022-05-19T23:20:00Z,2022-05-19T23:18:32Z,2022-05-19T23:58:38Z
F3,9,15.996,1.562,15.823963,9,1,2022-05-19T23:30:00Z,2022-05-19T23:18:32Z,2022-05-19T23:58:38Z
F3,9,15.953,1.719,17.398573,9,1,2022-05-19T23:40:00Z,2022-05-19T23:18:32Z,2022-05-19T23:58:38Z
F3,9,15.961,1.894,19.173064,9,1,2022-05-19T23:50:00Z,2022-05-19T23:18:32Z,2022-05-19T23:58:38Z
F3,9,15.927,1.821,18.420772,NA,NA,2022-05-20T00:00:00Z,NA,NA
F3,9,15.936,1.804,18.252294,NA,NA,2022-05-20T00:10:00Z,NA,NA
F3,9,15.953,1.864,18.866167,NA,NA,2022-05-20T00:20:00Z,NA,NA
F3,9,15.902,1.916,19.371473,10,1,2022-05-20T00:30:00Z,2022-05-20T00:22:47Z,2022-05-20T01:02:54Z
F3,9,15.893,1.99,20.115791,10,1,2022-05-20T00:40:00Z,2022-05-20T00:22:47Z,2022-05-20T01:02:54Z
F3,9,15.902,2.022,20.443172,10,1,2022-05-20T00:50:00Z,2022-05-20T00:22:47Z,2022-05-20T01:02:54Z
F3,9,15.876,2.013,20.340931,10,1,2022-05-20T01:00:00Z,2022-05-20T00:22:47Z,2022-05-20T01:02:54Z
F3,9,15.859,2.036,20.565903,NA,NA,2022-05-20T01:10:00Z,NA,NA
F3,9,15.833,2.05,20.695867,NA,NA,2022-05-20T01:20:00Z,NA,NA
F3,9,15.825,2.087,21.065815,11,1,2022-05-20T01:30:00Z,2022-05-20T01:27:02Z,2022-05-20T02:07:09Z
F3,9,15.791,2.108,21.262388,11,1,2022-05-20T01:40:00Z,2022-05-20T01:27:02Z,2022-05-20T02:07:09Z
F3,9,15.773,2.106,21.234072,11,1,2022-05-20T01:50:00Z,2022-05-20T01:27:02Z,2022-05-20T02:07:09Z
F3,9,15.773,2.112,21.294568,11,1,2022-05-20T02:00:00Z,2022-05-20T01:27:02Z,2022-05-20T02:07:09Z
F3,9,15.765,2.199,22.16798,NA,NA,2022-05-20T02:10:00Z,NA,NA
F3,9,15.756,2.314,23.322815,NA,NA,2022-05-20T02:20:00Z,NA,NA
F3,9,15.722,2.522,25.400832,NA,NA,2022-05-20T02:30:00Z,NA,NA
F3,9,15.705,2.505,25.220468,12,1,2022-05-20T02:40:00Z,2022-05-20T02:31:17Z,2022-05-20T03:11:21Z
F3,9,15.679,2.553,25.689481,12,1,2022-05-20T02:50:00Z,2022-05-20T02:31:17Z,2022-05-20T03:11:21Z
F3,9,15.645,2.533,25.469742,12,1,2022-05-20T03:00:00Z,2022-05-20T02:31:17Z,2022-05-20T03:11:21Z
